state.district,MemberName,Destination,TravelSponsor,Departure_Date,Return_Date,travel.time,namedate
FL16,"Rooney, Thomas","Charlottesville, VA",The Heritage Foundation,1/14/10,1/15/10,2,FL16 2010-01-14
FL16,"Rooney, Thomas","Big Cypress National Preserve,",Everglades Foundation,1/27/10,1/30/10,4,FL16 2010-01-27
FL16,"Rooney, Thomas","Tel Aviv, Israel",American Israel Education Foundation,7/3/10,7/11/10,9,FL16 2010-07-03
FL17,"Meek, Kendrick B.","Birmingham, AL",Faith and Politics Institute,3/5/10,3/7/10,3,FL17 2010-03-05
FL18,"Ros-Lehtinen, Ileana","Hot Springs, VA",The Congressional Institute,1/29/09,1/31/09,3,FL18 2009-01-29
FL18,"Ros-Lehtinen, Ileana","Tel Aviv, Israel",Doheny Global Group,8/9/09,8/15/09,7,FL18 2009-08-09
FL18,"Ros-Lehtinen, Ileana","Baltimore, MD",The Congressional Institute,1/28/10,1/30/10,3,FL18 2010-01-28
FL18,"Ros-Lehtinen, Ileana","Ankara, Turkey",Turkish Coalition of America,8/14/10,8/22/10,9,FL18 2010-08-14
FL19,"Wexler, Robert","Brussels, Belguim",German Marshall Fund,3/19/09,3/22/09,4,FL19 2009-03-19
FL19,"Wexler, Robert","New Orleans, LA Nashville, TN",Institute for Research on the Economics of Taxation,4/16/09,4/19/09,4,FL19 2009-04-16
FL19,"Wexler, Robert",Frankfurt,German Marshall Fund of the United States,6/3/09,6/7/09,5,FL19 2009-06-03
FL19,"Wexler, Robert","Ankara, Turkey",The German Marshall Fund of the U.S. (GMF),6/25/09,7/6/09,12,FL19 2009-06-25
FL19,"Wexler, Robert","Ankara, Turkey",Turkish Coalition of America,8/22/09,8/30/09,9,FL19 2009-08-22
FL19,"Wexler, Robert",Moscow,FIA Foundation,11/16/09,11/22/09,7,FL19 2009-11-16
FL2,"Boyd, Allen","Reno, NV",Safari Club International,1/23/09,1/24/09,2,FL2 2009-01-23
FL2,"Boyd, Allen","Miami, FL",Everglades Foundation,4/7/10,4/10/10,4,FL2 2010-04-07
FL2,"Boyd, Allen","Queenstown, MD",Partnership for a Secure America,5/22/10,5/23/10,2,FL2 2010-05-22
FL20,"Wasserman Schultz, Debbie","New York, New York",ABC's Good Morning America,3/22/09,3/23/09,2,FL20 2009-03-22
FL20,"Wasserman Schultz, Debbie",Michigan,Michigan Association of Justice,5/9/09,5/10/09,2,FL20 2009-05-09
FL20,"Wasserman Schultz, Debbie","New York, NY",American Israel Public Affairs Committee (AIPAC),5/20/09,5/21/09,2,FL20 2009-05-20
FL20,"Wasserman Schultz, Debbie","New York City, NY","ABC's ""Good Morning America""",5/22/09,5/23/09,2,FL20 2009-05-22
FL20,"Wasserman Schultz, Debbie","Pikesville, MD",Hadassah of Greater Baltimore,9/10/09,9/10/09,1,FL20 2009-09-10
FL20,"Wasserman Schultz, Debbie",Tel Aviv,American Israel Education Foundation,12/5/09,12/13/09,9,FL20 2009-12-05
FL20,"Wasserman Schultz, Debbie","Charlottesville, VA",Charlottesville Hadssah,12/6/09,12/7/09,2,FL20 2009-12-06
FL20,"Wasserman Schultz, Debbie",Costa Rica,ICCF and US Fish and Wildlife Service,4/6/10,4/12/10,7,FL20 2010-04-06
FL20,"Wasserman Schultz, Debbie","Orlando, FL",FORCE - Facing Our Risk of Cancer Empowered,6/25/10,6/27/10,3,FL20 2010-06-25
FL22,"Klein, Ron","Williamsburg, VA",Third Way,10/23/09,10/25/09,3,FL22 2009-10-23
FL23,"Hastings, Alcee","Nashville, TN",IRET,4/16/09,4/19/09,4,FL23 2009-04-16
FL23,"Hastings, Alcee","Boston, MA",American Youth Policy Forum,10/12/09,10/14/09,3,FL23 2009-10-12
FL23,"Hastings, Alcee","Miami, FL",Everglades Foundation,1/27/10,1/31/10,5,FL23 2010-01-27
FL23,"Hastings, Alcee","New York, NY",Humpty Dumpty Institute,2/18/10,2/19/10,2,FL23 2010-02-18
FL23,"Hastings, Alcee","Miami, FL",Humpty Dumpty Institute,4/15/10,4/17/10,3,FL23 2010-04-15
FL24,"Kosmas, Suzanne M.","Tel Aviv, Israel",American Israeli Education Foundation.,8/8/09,8/15/09,8,FL24 2009-08-08
FL24,"Kosmas, Suzanne M.","Williamsburg, VA",Third Way,10/23/09,10/25/09,3,FL24 2009-10-23
FL25,"Diaz-Balart, Mario","Key Largo, FL",Everglades Foundation,1/27/10,2/1/10,6,FL25 2010-01-27
FL3,"Brown, Corrine (Amendment)","Naples, FL",American Shipbuilding Association,11/28/09,12/1/09,4,FL3 2009-11-28
FL5,"Brown-Waite, Ginny","Philadelphia, PA",Mercatus Center,2/20/09,2/22/09,3,FL5 2009-02-20
FL5,"Brown-Waite, Ginny","Cambridge, MD",Congressional Institute,3/12/09,3/14/09,3,FL5 2009-03-12
FL5,"Brown-Waite, Ginny","Cambridge, MD",Congressional Institute,5/6/10,5/8/10,3,FL5 2010-05-06
FL5,"Brown-Waite, Ginny","Queenstown, MD",Partnership for a Secure America,5/22/10,5/23/10,2,FL5 2010-05-22
FL5,"Brown-Waite, Ginny","Long Beach, CA",American Healthcare Association (AHCA),10/12/10,10/19/10,8,FL5 2010-10-12
FL6,"Stearns, Cliff","Valencia, Spain",The Aspen Institute Congressional Program,4/4/09,4/10/09,7,FL6 2009-04-04
FL6,"Stearns, Cliff","New Orleans, LA Nashville, TN",Institute for Research on teh Economics of Taxation,4/16/09,4/19/09,4,FL6 2009-04-16
FL6,"Stearns, Cliff","Palm Beach, FL",Telecommunications Industry Association,8/3/09,8/3/09,1,FL6 2009-08-03
FL6,"Stearns, Cliff","Miami, FL",World Association of Domain Name Developers d.b.a. T.R.A.F.F.I.C.,10/17/10,10/18/10,2,FL6 2010-10-17
FL7,"Mica, John L.","Philadelphia, PA","George Mason University, Mercatus Center",2/20/09,2/22/09,3,FL7 2009-02-20
FL7,"Mica, John L.","Cambridge, MD",The Congressional Institute,3/12/09,3/14/09,3,FL7 2009-03-12
FL7,"Mica, John L.","New York, NY","Trade Press Media Group, Inc.",10/6/09,10/6/09,1,FL7 2009-10-06
FL7,"Mica, John L.","Coral Gables, FL",Everglades Foundation,1/27/10,1/31/10,5,FL7 2010-01-27
FL7,"Mica, John L.","Boston, MA",AMTRAK,3/4/10,3/5/10,2,FL7 2010-03-04
FL7,"Mica, John L.","New York, NY",Wolfe Trahan & Co.,5/26/10,5/26/10,1,FL7 2010-05-26
FL7,"Mica, John L.","San Antonio, TX",American Public Transportation Association,10/4/10,10/5/10,2,FL7 2010-10-04
FL7,"Mica, John L.","St. Louis, MO",Association of Metropolitan Organizations (AMPO),10/20/10,10/21/10,2,FL7 2010-10-20
FL8,"Grayson, Alan","Ankara, Turkey",Turkish Coalition of America,8/22/09,8/30/09,9,FL8 2009-08-22
FL8,"Grayson, Alan",Los Angeles,"Maher Live, Inc. (Real Time with Bill Maher)",10/16/09,10/17/09,2,FL8 2009-10-16
FL8,"Grayson, Alan","Queenstown, MD",Partnership for a Secure America (PSA),11/14/09,11/15/09,2,FL8 2009-11-14
FL8,"Grayson, Alan","Los Angeles, CA","Maher Live, Inc.",4/23/10,4/26/10,4,FL8 2010-04-23
FL8,"Grayson, Alan","Ankara, Turkey",Turkish Coalition of America,7/3/10,7/11/10,9,FL8 2010-07-03
FL9,"Bilirakis, Gus",NYC,Humpty Dumpty Institute,10/29/09,11/1/09,4,FL9 2009-10-29
FL9,"Bilirakis, Gus",Berlin,United States Association of Former Members of Congress,11/8/09,11/13/09,6,FL9 2009-11-08
FL9,"Bilirakis, Gus","Algiers, Algeria",Defense Forum Foundation,7/5/10,7/12/10,8,FL9 2010-07-05
GA1,"Kingston, Jack","Cambridge, MD",The Congressional Institute,3/12/09,3/13/09,2,GA1 2009-03-12
GA1,"Kingston, Jack","Los Angeles, CA","Maher, Inc. (Real Time with Bill Maher)",8/7/09,8/8/09,2,GA1 2009-08-07
GA1,"Kingston, Jack","Atlanta, GA",Georgia Tech,4/6/10,4/7/10,2,GA1 2010-04-06
GA1,"Kingston, Jack","Tel Aviv, Israel",American Israel Education Foundation,7/3/10,7/11/10,9,GA1 2010-07-03
GA1,"Kingston, Jack","Ankara, Turkey",Turkish Coalition of America,8/14/10,8/22/10,9,GA1 2010-08-14
GA1,"Kingston, Jack","New York, NY",The Humpy Dumpty Institute and the United Nations Foundation,12/9/10,12/10/10,2,GA1 2010-12-09
GA10,"Broun, Paul C.","Baltimore, MD",The Heritage Foundation,2/5/09,2/7/09,3,GA10 2009-02-05
GA10,"Broun, Paul C.","Hickory, NC",Hope Ministries International,6/15/09,6/16/09,2,GA10 2009-06-15
GA10,"Broun, Paul C.","Jacksonville, FL",Georgia Society of Opthalmology,7/18/09,7/18/09,1,GA10 2009-07-18
GA10,"Broun, Paul C.","Jacksonville, FL",Georgia Psychiatric Physicians Association,8/7/09,8/8/09,2,GA10 2009-08-07
GA10,"Broun, Paul C.","Nashville, TN",American Association of Physicians and Surgeons,10/1/09,10/2/09,2,GA10 2009-10-01
GA10,"Broun, Paul C.","Charlottesville, VA",The Heritage Foundation,1/14/10,1/16/10,3,GA10 2010-01-14
GA10,"Broun, Paul C.","Palm Beach, FL",Club for Growth,3/5/10,3/6/10,2,GA10 2010-03-05
GA11,"Gingrey, Phil","Baltimore, MD",Heritage Foundation,2/5/09,2/7/09,3,GA11 2009-02-05
GA11,"Gingrey, Phil",Chicago,HIMSS,4/5/09,4/6/09,2,GA11 2009-04-05
GA11,"Gingrey, Phil","Savannah, GA",Georgia Textile Management Association,5/3/09,5/4/09,2,GA11 2009-05-03
GA11,"Gingrey, Phil","Los Angeles, CA",Fu Jen Catholic University,8/4/09,8/9/09,6,GA11 2009-08-04
GA11,"Gingrey, Phil","Los Angeles, CA",Fu Jen Catholic University,8/5/09,8/8/09,4,GA11 2009-08-05
GA11,"Gingrey, Phil","Tel Aviv, Israel",American Israel Education Foundation,1/5/10,1/10/10,6,GA11 2010-01-05
GA11,"Gingrey, Phil","Charlottesville, VA",The Heritage Foundation,1/14/10,1/16/10,3,GA11 2010-01-14
GA11,"Gingrey, Phil","Augusta, GA",Westminster Schools of Augusta,1/20/10,1/24/10,5,GA11 2010-01-20
GA11,"Gingrey, Phil","Atlanta, GA",Healthcare Information and Management Systems Society (HIMSS),2/27/10,2/28/10,2,GA11 2010-02-27
GA11,"Gingrey, Phil","Atlanta, GA",Emory University and Georgia Institute of Technology (Georgia Tech),4/6/10,4/8/10,3,GA11 2010-04-06
GA11,"Gingrey, Phil","Cambridge, MD",The Congressional Institute,5/7/10,5/7/10,1,GA11 2010-05-07
GA11,"Gingrey, Phil","St. Louis, MO",United States Association of Former Members of Congress (FMC)'s Congressional Study Group on Germany,5/13/10,5/15/10,3,GA11 2010-05-13
GA12,"Barrow, John",Japan,Japan Center for International Exchange,2/13/10,2/20/10,8,GA12 2010-02-13
GA12,"Barrow, John","Tel Aviv, Israel",American Israel Education Foundation,12/11/10,12/19/10,9,GA12 2010-12-11
GA13,"Scott, David",Tel Aviv,American Israel Education Foundation (AIEF),2/14/09,2/22/09,9,GA13 2009-02-14
GA13,"Scott, David","Atlanta, GA",Federal Home Loan Bank Atlanta,11/1/09,11/2/09,2,GA13 2009-11-01
GA13,"Scott, David","Berlin, Germany",The United States Association of Former Members of Congress' Congressional Study Group on Germany,11/8/09,11/13/09,6,GA13 2009-11-08
GA13,"Scott, David","Ankara, Israel",Turkish Coalition of America,2/13/10,2/21/10,9,GA13 2010-02-13
GA13,"Scott, David","Tel Aviv, Israel",American Israel Education Fund,12/12/10,12/18/10,7,GA13 2010-12-12
GA2,"Bishop, Sanford","Tunica, MS",Congressional Black Caucus Political Education and Leadership Institute.,8/13/09,8/16/09,4,GA2 2009-08-13
GA2,"Bishop, Sanford","New York, NY",Humpty Dumpty Institute,2/18/10,2/19/10,2,GA2 2010-02-18
GA2,"Bishop, Sanford","Tel Aviv, Israel",American Israel Education Foundation,7/3/10,7/11/10,9,GA2 2010-07-03
GA3,"Westmoreland, Lynn A.","Baltimore, MD",The Heritage Foundation,2/5/09,2/7/09,3,GA3 2009-02-05
GA3,"Westmoreland, Lynn A.","Cambridge, MD",The Congressional Institute,3/12/09,3/14/09,3,GA3 2009-03-12
GA3,"Westmoreland, Lynn A.",New York City,Amtrak,12/18/09,12/18/09,1,GA3 2009-12-18
GA3,"Westmoreland, Lynn A.","Charlottesville, VA",The Heritage Foundation,1/14/10,1/16/10,3,GA3 2010-01-14
GA3,"Westmoreland, Lynn A.","Palm Beach, FL",Club for Growth,3/4/10,3/7/10,4,GA3 2010-03-04
GA3,"Westmoreland, Lynn A.","Cambridge, MD",The Congressional Institute,5/12/10,5/14/11,368,GA3 2010-05-12
GA3,"Westmoreland, Lynn A.","Tel Aviv, Israel",American Israel Education Foundation,7/5/10,7/12/10,8,GA3 2010-07-05
GA4,"Johnson, Henry","Tunica, MS",Congressional Black Caucus Political Education and Leadership Institute,8/13/09,8/16/09,4,GA4 2009-08-13
GA4,"Johnson, Henry",NJ,AIEF,12/6/09,12/12/09,7,GA4 2009-12-06
GA4,"Johnson, Henry","Bogota, Columbia",Global Exchange,2/8/10,2/15/10,8,GA4 2010-02-08
GA4,"Johnson, Henry",Japan,Japan Center for International Exchange,2/13/10,2/20/10,8,GA4 2010-02-13
GA4,"Johnson, Henry","Myrtle Beach, SC",Congressional Black Caucus,3/4/10,3/7/10,4,GA4 2010-03-04
GA4,"Johnson, Henry","Atlanta, GA",Georgia Institute of Technology and Emory University,4/6/10,4/7/10,2,GA4 2010-04-06
GA4,"Johnson, Henry","Tunica, MS",The Congressional Black Caucus PoliticalEducation and Leadership Institute (CBC Institute) A Distric,8/12/10,8/15/10,4,GA4 2010-08-12
GA4,"Johnson, Henry","Baltimore, MD",Ecological Society of America,10/22/10,10/22/10,1,GA4 2010-10-22
GA5,"Lewis, John","Jacksonville, FL",The Willie Gary Classic,1/28/09,1/29/09,2,GA5 2009-01-28
GA5,"Lewis, John","Wilmington, DE",Tower Hill School,2/9/09,2/9/09,1,GA5 2009-02-09
GA5,"Lewis, John","Tuskegee, AL",Tuskegee University,3/4/09,3/5/09,2,GA5 2009-03-04
GA5,"Lewis, John","Jackson, MI",Veterans of the Mississippi Civil Rights Movement,3/20/09,3/21/09,2,GA5 2009-03-20
GA5,"Lewis, John","San Diego, CA",American Civil Liberties Union Foundation & Imperial Counties,4/17/09,4/20/09,4,GA5 2009-04-17
GA5,"Lewis, John","Pittsburgh, PA",n/a,5/11/09,5/11/09,1,GA5 2009-05-11
GA5,"Lewis, John","New York, NY",Queens College,5/27/09,5/28/09,2,GA5 2009-05-27
GA5,"Lewis, John","Chicago, IL",John Marshall Metropolitan Alumni Association,6/5/09,6/6/09,2,GA5 2009-06-05
GA5,"Lewis, John","Myrtle Beach, SC",Franklin G. Burroughs - Simon B. Chapin Art Museum.,7/19/09,7/19/09,1,GA5 2009-07-19
GA5,"Lewis, John","San Francisco, CA",Worldwide Forgiveness Alliance,8/2/09,8/3/09,2,GA5 2009-08-02
GA5,"Lewis, John",Tunica,CBC Institute,8/13/09,8/16/09,4,GA5 2009-08-13
GA5,"Lewis, John","Phoenix, AZ",A. Philip Randolph Institute,8/15/09,8/16/09,2,GA5 2009-08-15
GA5,"Lewis, John",Ankara -,Turkish Coalition of America,8/22/09,8/30/09,9,GA5 2009-08-22
GA5,"Lewis, John",Tulsa,Cherokee Nation Tribal Government,9/4/09,9/5/09,2,GA5 2009-09-04
GA5,"Lewis, John","Orlando, FL",IAFF,1/24/10,1/25/10,2,GA5 2010-01-24
GA5,"Lewis, John","Birmingham, AL",Faith and Politics Institute,3/5/10,3/7/10,3,GA5 2010-03-05
GA5,"Lewis, John","Atlanta, GA","Emory University, Georgia Institute of Technology",4/6/10,4/7/10,2,GA5 2010-04-06
GA5,"Lewis, John","Nyack, NY",Nyack NAACP,4/8/10,4/9/10,2,GA5 2010-04-08
GA5,"Lewis, John","Providence, RI",Brown University Democrats,5/10/10,5/11/10,2,GA5 2010-05-10
GA5,"Lewis, John","Cincinnati, OH",Major League Baseball,5/16/10,5/17/10,2,GA5 2010-05-16
GA5,"Lewis, John","Cleveland, OH",Facing History and Ourselves,6/1/10,6/2/10,2,GA5 2010-06-01
GA5,"Lewis, John","Detroit, MI",UAW,6/13/10,6/14/10,2,GA5 2010-06-13
GA5,"Lewis, John","Albany, NY",Excelsior College,7/8/10,7/10/10,3,GA5 2010-07-08
GA5,"Lewis, John","New Orleans, LA",The Faith and Politics Institute,8/27/10,8/29/10,3,GA5 2010-08-27
GA5,"Lewis, John","Berlin, Germany","USAFMC, Amerika House NRW, The Korber Foundation, the Zelt Foundation Ebellin und Gerd Bucerius Educ",8/29/10,9/4/10,7,GA5 2010-08-29
GA5,"Lewis, John","Boston, MA",Howard Gotlieb Archival Research Center at Boston University,11/10/10,11/11/10,2,GA5 2010-11-10
GA6,"Price, Tom","Ft. Lauderdale, FL",The Commonwealth Fund,1/10/09,1/12/09,3,GA6 2009-01-10
GA6,"Price, Tom","Hot Springs, VA",Congressional Institute,1/29/09,1/31/09,3,GA6 2009-01-29
GA6,"Price, Tom","Baltimore, MD",The Heritage Foundation,2/5/09,2/7/09,3,GA6 2009-02-05
GA6,"Price, Tom","Tel Aviv, Isreal",American Israel Education Foundation,2/14/09,2/21/09,8,GA6 2009-02-14
GA6,"Price, Tom","Palm Beach, FL",Club for Growth,3/6/09,3/7/09,2,GA6 2009-03-06
GA6,"Price, Tom","Tel Aviv, Israel",American Israel Education Foundation (AIEF),8/1/09,8/9/09,9,GA6 2009-08-01
GA6,"Price, Tom",Tel Aviv,American Israel Education Foundation,12/5/09,12/13/09,9,GA6 2009-12-05
GA6,"Price, Tom","Charlottesville, VA",The Heritage Foundation,1/14/10,1/16/10,3,GA6 2010-01-14
GA6,"Price, Tom","Ft. Lauderdale, FL",The Commonwealth Fund,1/16/10,1/17/10,2,GA6 2010-01-16
GA6,"Price, Tom","Baltimore, MD",Congressional Institute,1/28/10,1/30/10,3,GA6 2010-01-28
GA6,"Price, Tom","Naples, FL","The Heritage Foundation, Washington, DC",4/8/10,4/11/10,4,GA6 2010-04-08
GA6,"Price, Tom","Miami, FL",National Health Policy Forum,6/2/10,6/4/10,3,GA6 2010-06-02
GA6,"Price, Tom","Sharpsburg, MD","The American Enterprise Institute, Washington, DC",6/12/10,6/12/10,1,GA6 2010-06-12
GA6,"Price, Tom",Gettysburg National Battlefiel,The American Enterprise Institute for Public Policy Research,6/21/10,6/21/10,1,GA6 2010-06-21
GA6,"Price, Tom","Tel Aviv, Israel",American Israel Education Foundation,12/11/10,12/19/10,9,GA6 2010-12-11
GA7,"Linder, John","New York, NY",Science and Public Policy Institute,3/7/09,3/10/09,4,GA7 2009-03-07
GA7,"Linder, John","Chicago, IL",John Marshall Metropolitan Alumni Association,6/5/09,6/6/09,2,GA7 2009-06-05
GA7,"Linder, John","Columbia, Missouri",Central Missouri Citizens for FairTax,6/13/09,6/13/09,1,GA7 2009-06-13
GA7,"Linder, John",Tel Aviv,American Israel Association (AIEF),12/5/09,12/13/09,9,GA7 2009-12-05
GA7,"Linder, John","Charlottesville, VA",The Heritage Foundation,1/14/10,1/16/10,3,GA7 2010-01-14
GA7,"Linder, John","Ankara, Turkey",Turkish Coalition of America,7/3/10,7/11/10,9,GA7 2010-07-03
GA7,"Linder, John","Ankara, Turkey",Turquoise Council of Americans and Eurasions (TCAE),8/29/10,9/5/10,8,GA7 2010-08-29
HI2,"Hirono, Mazie K.","Tel Aviv, Israel",American Israel Education Foundation (AIEF),8/8/09,8/16/09,9,HI2 2009-08-08
HI2,"Hirono, Mazie K.","Calgary, Canada",The Aspen Institute Congressional Program,8/16/09,8/22/09,7,HI2 2009-08-16
HI2,"Hirono, Mazie K.","Lisbon, Portugal",The Aspen Institute Congressional Program,4/5/10,4/11/10,7,HI2 2010-04-05
IA2,"Loebsack, David","Nashville, TN",Iowa National Guard Officers Association,9/10/09,9/14/09,5,IA2 2009-09-10
IA2,"Loebsack, David","St. Louis, MO",Enlisted Association of the National Guard of Iowa,8/8/10,8/10/10,3,IA2 2010-08-08
IA3,"Boswell, Leonard L.",Tel Aviv,American Israel Education Foundation.,2/14/09,2/22/09,9,IA3 2009-02-14
IA3,"Boswell, Leonard L.","Des Moines, IA",Iowa State University & Iowa Renewable Fuels Association,8/16/10,8/19/10,4,IA3 2010-08-16
IA4,"Latham, Tom","Philadelphia, PA",The Mercatus Center at George Mason University,2/20/09,2/20/09,1,IA4 2009-02-20
IA4,"Latham, Tom","Cambridge, MD",Congressional Institute,3/12/09,3/14/09,3,IA4 2009-03-12
IA4,"Latham, Tom","New York, NY",HDI (Humpty Dumpty Institute),2/18/10,2/19/10,2,IA4 2010-02-18
IA4,"Latham, Tom","Berlin, Germany",The United States Association of Former Members of Congress,3/28/10,4/2/10,6,IA4 2010-03-28
IA4,"Latham, Tom","Cambridge, MD",The Congressional Institute,5/6/10,5/8/10,3,IA4 2010-05-06
IA4,"Latham, Tom","Ames, IA","Iowa State University, Iowa Renewable Fuels Association, Renewable Fuels Foundation, Green Plains Re",8/16/10,8/19/10,4,IA4 2010-08-16
ID2,"Simpson, Michael","Lusby, MD",Nuclear Energy Insitute,6/19/09,6/19/09,1,ID2 2009-06-19
ID2,"Simpson, Michael","Paso, WA",Tri-City Development Council (TRIDEC),8/9/09,8/11/09,3,ID2 2009-08-09
IL1,"Rush, Bobby","Philadelphia, PA",The Mercatus Center at George Mason University,2/20/09,2/22/09,3,IL1 2009-02-20
IL1,"Rush, Bobby","Berlin, Germany",US Association of Former Members of Congress,3/28/10,4/2/10,6,IL1 2010-03-28
IL1,"Rush, Bobby","Memphis, TN",The April 4th Foundation,4/4/10,4/5/10,2,IL1 2010-04-04
IL1,"Rush, Bobby","Ankara, Turkey",Turkish Coalition of America,8/14/10,8/22/10,9,IL1 2010-08-14
IL1,"Rush, Bobby","Antietam, MD",Civil War Preservation Trust,9/10/10,9/10/10,1,IL1 2010-09-10
IL10,"Kirk, Mark Steven",Tel Aviv,Jewish United Fund of Metropolitan Chicago,2/14/09,2/20/09,7,IL10 2009-02-14
IL10,"Kirk, Mark Steven",Guangzhou - Shanghai - Tianjin,National Committee on U.S. - China Relations,5/25/09,6/1/09,8,IL10 2009-05-25
IL11,"Halvorson, Deborah L.","Tel Aviv, Israel",American Israel Education Fund,6/27/09,7/5/09,9,IL11 2009-06-27
IL11,"Halvorson, Deborah L.","Tel Aviv, Israel",American Israel Education Foundation (AIEF),8/8/09,8/16/09,9,IL11 2009-08-08
IL11,"Halvorson, Deborah L.","Williamsburg, VA",Third Way,10/23/09,10/25/09,3,IL11 2009-10-23
IL13,"Biggert, Judy","Cambridge, MD",Congressional Institute,3/12/09,3/14/09,3,IL13 2009-03-12
IL13,"Biggert, Judy","Valencia, Spain",The Aspen Institue Congressional Program,4/4/09,4/10/09,7,IL13 2009-04-04
IL13,"Biggert, Judy","Cambridge, MD",The Congressional Institute,5/6/10,5/8/10,3,IL13 2010-05-06
IL13,"Biggert, Judy","Tel Aviv, Israel",American Israel Education Foundation,12/11/10,12/19/10,9,IL13 2010-12-11
IL14,"Foster, Bill","Lusby, MD",Nuclear Energy Institute,6/19/09,6/19/09,1,IL14 2009-06-19
IL14,"Foster, Bill",Ben Gurion-,American Israel Education Foundation,8/8/09,8/21/09,14,IL14 2009-08-08
IL14,"Foster, Bill","San Francisco, CA",Information Technology and Innovation Foundation (ITIF),6/2/10,6/4/10,3,IL14 2010-06-02
IL16,"Manzullo, Donald A.","Cambridge, MD",The Congressional Institute,3/12/09,3/14/09,3,IL16 2009-03-12
IL16,"Manzullo, Donald A.","Cambridge, MD",The Congressional Institute,5/6/10,5/8/10,3,IL16 2010-05-06
IL18,"Schock, Aaron","Chicago, IL",Young America's Foundation,3/13/09,3/14/09,2,IL18 2009-03-13
IL18,"Schock, Aaron","Tel Aviv, Israel",American Israel Education Foundation,6/27/09,7/5/09,9,IL18 2009-06-27
IL18,"Schock, Aaron",Tel Aviv,American Israel Education Foundation,8/1/09,8/11/09,11,IL18 2009-08-01
IL18,"Schock, Aaron","Tel Aviv, Israel",American Israel Education Foundation (AIEF),2/13/10,2/21/10,9,IL18 2010-02-13
IL18,"Schock, Aaron","Berlin, Germany",United States Assn of Former Members of Congress,3/28/10,4/2/10,6,IL18 2010-03-28
IL18,"Schock, Aaron","Ankara, Turkey",Turkish Coalition of America,7/3/10,7/11/10,9,IL18 2010-07-03
IL18,"Schock, Aaron","Addis Ababa, Ethiopa","Cooperative for Assistance and Relief Everywhere, Inc. (CARE USA)",9/7/10,9/11/10,5,IL18 2010-09-07
IL19,"Shimkus, John","Philadelphia, PA",Mercatus Center George Mason University,2/20/09,2/22/09,3,IL19 2009-02-20
IL19,"Shimkus, John","Berlin, Germany",Former Members of Congress Congressional Study Group on Germany,3/28/10,4/2/10,6,IL19 2010-03-28
IL19,"Shimkus, John","Cambridge, MD",Congressional Institute,5/6/10,5/8/10,3,IL19 2010-05-06
IL19,"Shimkus, John","San Francisco, CA",The Information Technology and Innovation Foundation,6/2/10,6/4/10,3,IL19 2010-06-02
IL2,"Jackson, Jesse L.","Port Au Prince, Haiti",International Committee of the Red Cross,2/15/09,2/22/09,8,IL2 2009-02-15
IL2,"Jackson, Jesse L.","Hartford, CT",Harriet Beecher Stowe Center,6/9/10,6/11/11,368,IL2 2010-06-09
IL2,"Jackson, Jesse L.","Detroit, MI",American Israel Public Affairs Committee,10/9/10,10/10/10,2,IL2 2010-10-09
IL2,"Jackson, Jesse L.","Miami, FL",American Israel Public Affairs Committee,10/24/10,10/25/10,2,IL2 2010-10-24
IL2,"Jackson, Jesse L.","Orlando, FL",National Foundation for Women Legislators,11/20/10,11/21/10,2,IL2 2010-11-20
IL3,"Lipinski, Daniel","Greenville, SC",Furman University Depatment of Political Science,4/14/09,4/18/09,5,IL3 2009-04-14
IL3,"Lipinski, Daniel","Dana Point, CA",Legatus,2/4/10,2/6/10,3,IL3 2010-02-04
IL3,"Lipinski, Daniel","Boston, MA",MIT and the Ewing Marion Kauffman Foundation,4/7/10,4/11/10,5,IL3 2010-04-07
IL3,"Lipinski, Daniel","Tel Aviv, Israel",American Israel Education Foundation,7/5/10,7/12/10,8,IL3 2010-07-05
IL4,"Gutierrez, Luis",Berlin,US Association of Foremers Members of Congress; German Marshall Fund & Heinrich Boell Foundation,5/26/09,5/31/09,6,IL4 2009-05-26
IL4,"Gutierrez, Luis","El Paso, TX",Border Network for Human Rights,7/17/09,7/18/09,2,IL4 2009-07-17
IL4,"Gutierrez, Luis",Puerto Rico,Luis Munoz Marin Foundation,10/30/09,11/2/09,4,IL4 2009-10-30
IL4,"Gutierrez, Luis","Miami, FL",Univision,5/14/10,5/15/10,2,IL4 2010-05-14
IL4,"Gutierrez, Luis","Ayacucho, Peru",CARE USA,6/1/10,6/5/10,5,IL4 2010-06-01
IL4,"Gutierrez, Luis","San Juan, Puerto Rico",Puerto Rico Hospital Association,10/21/10,10/26/10,6,IL4 2010-10-21
IL5,"Quigley, Mike",NYC,Humpty Dumpty Institute,7/12/09,7/13/09,2,IL5 2009-07-12
IL5,"Quigley, Mike","Tel Aviv, Israel",American Israel Education Foundation,8/9/09,8/16/09,8,IL5 2009-08-09
IL5,"Quigley, Mike",Jerusalem -,The American Israel Education Foundation,12/5/09,12/13/09,9,IL5 2009-12-05
IL5,"Quigley, Mike","Ankara, Turkey",Turkish Coalition of America,7/3/10,7/11/10,9,IL5 2010-07-03
IL5,"Quigley, Mike","Zagreb, Croatia",International Committee of the Red Cross,10/9/10,10/17/10,9,IL5 2010-10-09
IL6,"Roskam, Peter","Cambridge, MD",Congressional Institute,3/12/09,3/14/09,3,IL6 2009-03-12
